Name,Time,Value,Category_1,Category_2,Ingredient_1,Ingredient_1_Amount,Ingredient_2,Ingredient_2_Amount,Ingredient_3,Ingredient_3_Amount,Ingredient_4,Ingredient_4_Amount
Isleworks Necklace,4,28,Accessories,Woodworks,Branch,3,Vine,1,,,,
Isleworks Coral Ring,6,42,Accessories,Marine Merchandise,Coral,3,Vine,3,,,,
Isleworks Earrings,4,44,Accessories,Creature Creations,Vine,3,Fang,1,,,,
Isleworks Silver Ear Cuffs,8,136,Accessories,Metalworks,Tinsand,3,Silver Ore,2,Coral,3,,
Isleworks Ribbon,6,54,Accessories,Textiles,Cotton Boll,2,Copper Ore,2,Vine,2,,
Isleworks Quartz Ring,8,72,Accessories,Unburied Treasures,Quartz,3,Iron Ore,3,Stone,2,,
Isleworks Macuahuitl,6,42,Arms,Woodworks,Palm Log,3,Stone,3,,,,
Isleworks Hora,6,72,Arms,Creature Creations,Stone,4,Carapace,2,,,,
Isleworks Garnet Rapier,8,136,Arms,Unburied Treasures,Copper Ore,3,Raw Island Garnet,2,Tinsand,3,,
Isleworks Iron Axe,8,72,Arms,Metalworks,Iron Ore,3,Log,3,Sand,2,,
Isleworks Crook,8,120,Arms,Woodworks,Quartz,2,Log,2,Fang,4,,
Isleworks Barbut,6,42,Attire,Metalworks,Copper Ore,3,Sand,3,,,,
Isleworks Tunic,6,72,Attire,Textiles,Vine,4,Fleece,2,,,,
Isleworks Spruce Round Shield,8,136,Attire,Woodworks,Copper Ore,3,Spruce Log,2,Stone,3,,
Isleworks Cavalier's Hat,6,81,Attire,Textiles,Cotton Boll,2,Feather,2,Hemp,2,,
Isleworks Scale Fingers,8,120,Attire,Creature Creations,Iron Ore,2,Cotton Boll,2,Carapace,4,,
Isleworks Potion,4,28,Concoctions,,Palm Leaf,2,Islewort,2,,,,
Isleworks Firesand,4,28,Concoctions,Unburied Treasures,Sand,2,Limestone,1,Islewort,1,,
Isleworks Growth Formula,8,136,Concoctions,,Islewort,3,Alyssum,2,Branch,3,,
Isleworks Essential Draught,6,54,Concoctions,Marine Merchandise,Jellyfish,2,Palm Leaf,2,Laver,2,,
Isleworks Vegetable Juice,6,78,Concoctions,,Islewort,2,Cabbage,3,Laver,1,,
Isleworks Sweet Popoto,6,72,Confections,,Sap,3,Popoto,2,Milk,1,,
Isleworks Caramels,6,81,Confections,,Sugarcane,4,Milk,2,,,,
Islefish Pie,6,78,Confections,Marine Merchandise,Islefish,2,Wheat,3,Sugarcane,1,,
Isleworks Pumpkin Pudding,6,78,Confections,,Pumpkin,3,Egg,1,Milk,1,,
Isleworks Grilled Clam,4,28,Foodstuffs,Marine Merchandise,Clam,2,Laver,2,,,,
Isleworks Baked Pumpkin,4,40,Foodstuffs,,Sap,3,Pumpkin,1,,,,
Isleworks Boiled Egg,4,44,Foodstuffs,Creature Creations,Laver,3,Egg,1,,,,
Isleworks Parsnip Salad,4,48,Foodstuffs,,Islewort,1,Parsnip,2,Sap,1,,
Isleworks Onion Soup,6,78,Foodstuffs,,Rock Salt,2,Onion,3,Islewort,1,,
Isleworks Wooden Chair,6,42,Furnishings,Woodworks,Log,4,Vine,2,,,,
Isleworks Brick Counter,6,48,Furnishings,Unburied Treasures,Clay,2,Limestone,2,Palm Log,2,,
Bronze Sheep,8,64,Furnishings,Metalworks,Tinsand,3,Copper Ore,3,Log,2,,
Isleworks Sheepfluff Rug,6,90,Furnishings,Creature Creations,Cotton Boll,2,Fleece,3,Hemp,1,,
Isleworks Bed,8,120,Furnishings,Textiles,Cotton Boll,2,Fur,4,Log,2,,
Isleworks Butter,4,44,Ingredients,Creature Creations,Rock Salt,3,Milk,1,,,,
Isleworks Squid Ink,4,36,Ingredients,Marine Merchandise,Squid,2,Rock Salt,2,,,,
